학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,lat,long,데이터기준일자,제공기관코드,제공기관명
B000013469,서울여자고등학교,고등학교,1958-03-01,공립,본교,운영,서울특별시 마포구 염리동 128-2,서울특별시 마포구 백범로25길 34,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2023-11-15,37.5477805,126.9490699644,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000002397,서울장월초등학교,초등학교,2006-09-01,공립,본교,운영,서울특별시 성북구 장위동 316,서울특별시 성북구 한천로101길 66,7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2023-11-15,37.62194109,127.0471628,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000002382,서울중마초등학교,초등학교,1982-11-10,공립,본교,운영,서울특별시 광진구 중곡동 191-69,서울특별시 광진구 동일로72길 43,7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2023-11-15,37.56579084,127.0790239,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000008135,서연중학교,중학교,1985-05-06,공립,본교,운영,서울특별시 서대문구 연희동 267-1,서울특별시 서대문구 연희로11마길 9-6,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2023-11-15,37.56822527,126.9273336,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000008150,아현중학교,중학교,1980-02-02,공립,본교,운영,서울특별시 마포구 아현동 267-1,서울특별시 마포구 마포대로 247,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2023-11-15,37.55640071,126.9565000215,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000008216,녹천중학교,중학교,1995-05-06,공립,본교,운영,서울특별시 노원구 월계동 321-7,서울특별시 노원구 월계로 376,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2023-11-15,37.63108361,127.0617375,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000011297,대경생활과학고등학교,고등학교,1956-04-16,사립,본교,운영,서울특별시 중구 신당동 333-579,서울특별시 중구 매봉18길 111,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2023-11-15,37.55637326,127.0169792,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000002387,경복초등학교,초등학교,1965-03-02,사립,본교,운영,서울특별시 광진구 능동 25,서울특별시 광진구 천호대로130길 58,7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2023-11-15,37.54982961,127.0867934,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000002280,서울양전초등학교,초등학교,1989-05-06,공립,본교,운영,서울특별시 강남구 개포동 183,서울특별시 강남구 개포로 513,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2023-11-15,37.49028284,127.0694253,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000008091,청량중학교,중학교,1951-08-30,공립,본교,운영,서울특별시 동대문구 청량리동 14,서울특별시 동대문구 왕산로 301,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2023-11-15,37.58821921,127.0506225,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000002007,서울신대림초등학교,초등학교,1995-03-01,공립,본교,운영,서울특별시 영등포구 대림동 970-1,서울특별시 영등포구 대림로8길 25,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2023-11-15,37.49215682,126.9058543,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000001900,서울상신초등학교,초등학교,1983-03-01,공립,본교,운영,서울특별시 은평구 신사동 238-2,서울특별시 은평구 가좌로 361,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2023-11-15,37.59755372,126.9046049,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000001992,서울시흥초등학교,초등학교,1911-07-01,공립,본교,운영,서울특별시 금천구 시흥동 841-19,서울특별시 금천구 독산로23길 26,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2023-11-15,37.45534062,126.9046393,2024-03-22,C738100,청주대학교 지방교육재정연구원
