번호,사업장명,소재지전체주소,도로명전체주소,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,입소정원,자격소유인원수,총인원수,인허가번호,상세영업상태명,lat,long
3656,까치공원경로당,서울특별시 중랑구 면목동 570번지 ,,20041224,운영중,,,,,,,0.0,0.0,35.0,3060000200400069,운영,37.5834425880894,127.087329167474
3655,은행길경로당,서울특별시 중랑구 면목동 104-21번지 ,,20041213,운영중,,,,,,,27.0,0.0,27.0,3060000200400065,운영,37.588842490735,127.091513889765
3654,라이프미성경로당,서울특별시 중랑구 신내동 487번지 ,,20041202,운영중,,,,,,,0.0,0.0,0.0,3060000200400064,운영,37.6028888838747,127.098741298809
3653,상봉1동구립경로당,서울특별시 중랑구 상봉동 228-2번지 ,,20041202,운영중,,,,,,,0.0,0.0,0.0,3060000200400063,운영,37.6022171148814,127.087541245741
3652,샛별경로당,서울특별시 중랑구 망우동 421-36번지 ,,20041124,운영중,,,,,,,0.0,0.0,0.0,3060000200400062,운영,37.5930080766883,127.102235433676
3651,구립학수경로당,서울특별시 중랑구 묵동 247-101번지 ,,20041102,운영중,,,,,,,77.0,0.0,0.0,3060000200400060,운영,37.6072165416142,127.07352450305
3650,대성경로당,서울특별시 중랑구 면목동 347-4번지 ,,20041007,운영중,,,,,,,0.0,0.0,0.0,3060000200400056,운영,37.5763456243544,127.081428561197
3649,우성타운경로당,서울특별시 중랑구 중화동 195-2번지 ,,20041006,운영중,,,,,,,20.0,0.0,0.0,3060000200400055,운영,37.5979766683921,127.081276496733
3648,양지경로당,서울특별시 중랑구 면목동 230-22번지 ,,19780421,운영중,,,,,,,75.0,0.0,0.0,3060000200400049,운영,37.5918884722665,127.088082267228
3647,용마폭포공원경로당,서울특별시 중랑구 면목동 산 1-4번지 ,,20040812,운영중,,,,,,,20.0,0.0,0.0,3060000200400047,운영,37.573383506758,127.090942778
3646,현대아이파크경로당,서울특별시 중랑구 묵동 385번지 ,,20040527,운영중,,,,,,,0.0,0.0,23.0,3060000200400043,운영,37.6105098434999,127.073659575819
3645,신내경로당,서울특별시 중랑구 신내동 388-1번지 ,,20040522,운영중,,,,,,,0.0,0.0,0.0,3060000200400041,운영,37.6067519423477,127.099842108601
3644,한신아파트경로당,서울특별시 중랑구 면목동 193-1번지 ,,20040211,운영중,,,,,,,38.0,0.0,38.0,3060000200400018,운영,37.5875052368198,127.075465206913
3643,한신아파트경로당,서울특별시 중랑구 중화동 450번지 ,,19971011,운영중,,,,,,,30.0,0.0,30.0,3060000200400017,운영,37.5971495731568,127.081907230062
3642,태영데시앙아파트경로당,서울특별시 중랑구 상봉동 497번지 ,,20040211,운영중,,,,,,,38.0,0.0,38.0,3060000200400016,운영,37.6031459393664,127.092739964795
3641,대원칸타빌아파트경로당,서울특별시 중랑구 면목동 581번지 ,,20040210,운영중,,,,,,,30.0,0.0,30.0,3060000200400015,운영,37.5780867825962,127.090125931705
3640,신도아파트경로당,서울특별시 중랑구 묵동 167번지 ,,20020131,운영중,,,,,,,21.0,0.0,21.0,3060000200400014,운영,37.6168561028337,127.077372816699
3639,신안2차아파트경로당,서울특별시 중랑구 묵동 382번지 ,,20040116,운영중,,,,,,,25.0,0.0,25.0,3060000200400013,운영,37.6141121269446,127.080097893145
3638,청운경로당,서울특별시 중랑구 상봉동 305-1번지 ,,20030101,운영중,,,,,,,40.0,0.0,40.0,3060000200400011,운영,37.5990638157299,127.085344331213
3637,현대아파트경로당,서울특별시 중랑구 면목동 1502번지 ,,19940929,운영중,,,,,,,44.0,0.0,44.0,3060000200400010,운영,37.5762581128666,127.089787282993
3636,먹골경로당,서울특별시 중랑구 묵동 49-49번지 ,,20040108,운영중,,,,,,,44.0,0.0,44.0,3060000200400009,운영,37.617560217935,127.083592040286
3635,늘푸른동아아파트경로당,서울특별시 중랑구 면목동 715번지 ,,20040105,운영중,,,,,,,72.0,0.0,72.0,3060000200400008,운영,37.5728763501551,127.080633631046
3634,면목5동제2구립경로당,서울특별시 중랑구 면목동 160-28번지 ,,20060306,운영중,,,,,,,0.0,0.0,0.0,3060000200600008,운영,37.5838631753646,127.080874516465
3633,"두산4,5단지 경로당",서울특별시 중랑구 면목동 1522번지 ,,20060306,운영중,,,,,,,0.0,0.0,23.0,3060000200600007,운영,37.57887341637,127.082261360697
3632,신내11단지아파트경로당,서울특별시 중랑구 신내동 661번지 ,,19960313,운영중,,,,,,,49.0,0.0,49.0,3060000200600006,운영,37.6075380713052,127.094008632781
3631,신성미소지움아파트경로당,서울특별시 중랑구 면목동 1527번지 ,,20060126,운영중,,,,,,,22.0,0.0,22.0,3060000200600004,운영,37.587214362585,127.09609294746
3630,묵동신안3차아파트경로당,서울특별시 중랑구 묵동 384번지 ,,20060102,운영중,,,,,,,20.0,0.0,22.0,3060000200600002,운영,37.6124746884914,127.081779175958
3629,풍림아파트경로당,서울특별시 중랑구 면목동 1514번지 ,,20051205,운영중,,,,,,,23.0,0.0,23.0,3060000200500041,운영,37.5909688157786,127.07232382127
3628,면목7동 구립경로당,서울특별시 중랑구 면목동 364-36번지 ,,19871224,운영중,,,,,,,70.0,0.0,70.0,3060000200500040,운영,37.5770501355094,127.086586088753
3627,경원아파트경로당,서울특별시 중랑구 신내동 449-1번지 ,,20051117,운영중,,,,,,,25.0,0.0,25.0,3060000200500037,운영,37.6055355943792,127.098462353835
3626,중화1동구립경로당,서울특별시 중랑구 중화동 131-10번지 ,,19880910,운영중,,,,,,,0.0,0.0,33.0,3060000200500035,운영,37.6002710087907,127.08552995356
3625,브라운스톤태능아파트경로당,서울특별시 중랑구 묵동 387번지 ,,20050920,운영중,,,,,,,0.0,0.0,25.0,3060000200500029,운영,37.6187414214185,127.08242725632
3624,신내10단지아파트경로당,서울특별시 중랑구 신내동 660번지 ,,20050822,운영중,,,,,,,0.0,0.0,23.0,3060000200500027,운영,37.6092681272483,127.094601887195
3623,서촌경로당,서울특별시 중랑구 상봉동 27번지 ,,20050628,운영중,,,,,,,0.0,0.0,0.0,3060000200500023,운영,37.6021484937523,127.092112940099
3622,신안1차아파트경로당,서울특별시 중랑구 묵동 381번지 ,,20001024,운영중,,,,,,,0.0,0.0,0.0,3060000200500022,운영,37.6128551779041,127.080992546994
3621,동부구립경로당,서울특별시 중랑구 면목동 139-10번지 ,,20050627,운영중,,,,,,,23.0,0.0,0.0,3060000200500021,운영,37.5882411023379,127.082947157268
3620,면목5동제1구립경로당,서울특별시 중랑구 면목동 173-1번지 ,,19890527,운영중,,,,,,,35.0,0.0,0.0,3060000200500017,운영,37.5846246179085,127.078043884076
3619,신내건영2차아파트경로당,서울특별시 중랑구 상봉동 63번지 ,,20050404,운영중,,,,,,,0.0,0.0,0.0,3060000200500015,운영,37.6012129721752,127.093061552443
3618,신안2차아파트경로당,서울특별시 중랑구 묵동 382번지 ,,20050404,운영중,,,,,,,0.0,0.0,0.0,3060000200500014,운영,37.6141121269446,127.080097893145
3617,면목2동구립경로당,서울특별시 중랑구 면목동 178-19번지 ,,19881128,운영중,,,,,,,0.0,0.0,0.0,3060000200500012,운영,37.5880867658679,127.076817786686
3616,진로아파트경로당,서울특별시 중랑구 신내동 654번지 ,,20050201,운영중,,,,,,,0.0,0.0,0.0,3060000200500011,운영,37.6140924325305,127.093292571921
3615,제일경로당,서울특별시 중랑구 면목동 1322-34번지 ,,20050128,운영중,,,,,,,0.0,0.0,0.0,3060000200500008,운영,37.5875896911484,127.101504873678
3614,화랑마을경로당,서울특별시 중랑구 묵동 122-174번지 ,,19780210,운영중,,,,,,,0.0,0.0,0.0,3060000200600049,운영,37.6090472213567,127.080358382785
3613,우정아파트경로당,서울특별시 중랑구 상봉동 496번지 ,,20060817,운영중,,,,,,,0.0,0.0,0.0,3060000200600048,운영,37.5994293182578,127.088683853976
3612,삼호아파트경로당,서울특별시 중랑구 면목동 1513번지 ,,20060817,운영중,,,,,,,20.0,0.0,0.0,3060000200600047,운영,37.5764203108934,127.088449167558
3611,면목금호어울림아파트,서울특별시 중랑구 면목동 1528번지 ,,20060731,운영중,,,,,,,23.0,0.0,23.0,3060000200600044,운영,37.5772688573595,127.089180691778
3610,벽산아파트경로당,서울특별시 중랑구 신내동 437번지 ,,20060731,운영중,,,,,,,0.0,0.0,0.0,3060000200600042,운영,37.6031247734606,127.100119242128
3609,동구햇살아파트경로당,서울특별시 중랑구 묵동 388번지 ,,20060628,운영중,,,,,,,20.0,0.0,20.0,3060000200600039,운영,37.6133092647094,127.074443044774
